tier,variant,ticker,entry_time,exit_time,contracts,ivr_at_entry,sigma_at_entry,entry_underlying,pnl_usd,pnl_pct,exit_reason,exit_result,hold_days
1,v3_phaseB,MSFT,2026-03-05 14:30:00+00:00,2026-03-27 13:30:00+00:00,1,28.4,0.227,407.239990234375,-906.5888156749015,-2.1376208325674506,STOP_LOSS,LOSS,21.958333333333332
1,v3_phaseB,MSFT,2026-04-01 13:30:00+00:00,2026-04-15 18:30:00+00:00,1,30.8,0.227,372.7650146484375,-765.7518730273623,-2.070535749954696,STOP_LOSS,LOSS,14.208333333333334
1,v3_phaseB,MSFT,2026-04-20 18:30:00+00:00,2026-04-23 19:55:00+00:00,1,30.8,0.228,418.239990234375,-14.461842251845525,-0.03207605810450548,END_OF_RANGE,LOSS,3.0590277777777777
1,v4_filtered,MSFT,2026-02-24 19:30:00+00:00,2026-03-02 14:30:00+00:00,1,100.0,0.301,387.3570861816406,249.4254047554902,0.5379661772097374,PROFIT_TARGET,WIN,5.791666666666667
1,v4_filtered,MSFT,2026-03-05 14:50:00+00:00,2026-03-27 13:30:00+00:00,1,32.8,0.24,410.81500244140625,-901.8781955638897,-2.103984780690517,STOP_LOSS,LOSS,21.944444444444443
1,v4_filtered,MSFT,2026-04-01 13:30:00+00:00,2026-04-15 18:30:00+00:00,1,30.8,0.227,372.7650146484375,-765.7518730273623,-2.070535749954696,STOP_LOSS,LOSS,14.208333333333334
1,v4_filtered,MSFT,2026-04-20 18:30:00+00:00,2026-04-23 19:55:00+00:00,1,30.8,0.228,418.239990234375,-14.461842251845525,-0.03207605810450548,END_OF_RANGE,LOSS,3.0590277777777777
1,v5_hedged,MSFT,2026-02-24 19:30:00+00:00,2026-03-02 14:30:00+00:00,3,100.0,0.301,387.3570861816406,748.2762142664706,0.5379661772097374,PROFIT_TARGET,WIN,5.791666666666667
1,v5_hedged,MSFT,2026-03-05 14:50:00+00:00,2026-03-27 13:30:00+00:00,1,32.8,0.24,410.81500244140625,-901.8781955638897,-2.103984780690517,STOP_LOSS,LOSS,21.944444444444443
1,v5_hedged,MSFT,2026-04-01 13:30:00+00:00,2026-04-15 18:30:00+00:00,1,30.8,0.227,372.7650146484375,-765.7518730273623,-2.070535749954696,STOP_LOSS,LOSS,14.208333333333334
1,v5_hedged,MSFT,2026-04-20 18:30:00+00:00,2026-04-23 19:55:00+00:00,1,30.8,0.228,418.239990234375,-14.461842251845525,-0.03207605810450548,END_OF_RANGE,LOSS,3.0590277777777777
1,v1_baseline,NVDA,2026-02-24 19:30:00+00:00,2026-04-14 13:45:00+00:00,1,100.0,0.229,192.62359619140625,268.7596049195111,0.5499053551637938,PROFIT_TARGET,WIN,48.760416666666664
1,v1_baseline,NVDA,2026-04-17 13:45:00+00:00,2026-04-23 15:50:00+00:00,1,21.1,0.238,201.03509521484375,254.4559300206231,0.515621844813431,PROFIT_TARGET,WIN,6.086805555555555
1,v2_hold_day,NVDA,2026-02-24 19:30:00+00:00,2026-02-24 20:55:00+00:00,1,100.0,0.229,192.62359619140625,-3.3338490156483935,-0.012198227178385548,EOD,LOSS,0.059027777777777776
1,v2_hold_day,NVDA,2026-02-27 20:55:00+00:00,2026-03-02 16:40:00+00:00,1,22.1,0.228,177.16000366210938,-512.1432513763082,-2.0457465274965254,STOP_LOSS,LOSS,2.8229166666666665
1,v2_hold_day,NVDA,2026-03-05 16:40:00+00:00,2026-03-05 20:55:00+00:00,1,31.6,0.274,183.0399932861328,31.17986336398797,0.11766413797565475,EOD,WIN,0.17708333333333334
1,v2_hold_day,NVDA,2026-03-10 19:55:00+00:00,2026-03-11 15:25:00+00:00,1,24.4,0.239,184.75999450683594,94.03891953966175,0.5076347965478846,PROFIT_TARGET,WIN,0.8125
1,v2_hold_day,NVDA,2026-03-16 15:25:00+00:00,2026-03-16 19:55:00+00:00,1,67.5,0.451,184.72779846191406,102.00158965215036,0.2951108249791449,EOD,WIN,0.1875
1,v2_hold_day,NVDA,2026-03-19 19:55:00+00:00,2026-03-20 18:20:00+00:00,1,16.3,0.199,178.5,-400.12311870795025,-2.070532285930042,STOP_LOSS,LOSS,0.9340277777777778
1,v2_hold_day,NVDA,2026-03-25 18:20:00+00:00,2026-03-25 19:55:00+00:00,1,60.8,0.418,179.25,93.55538608447489,0.29461565755068786,EOD,WIN,0.06597222222222222
1,v2_hold_day,NVDA,2026-03-30 19:55:00+00:00,2026-03-31 13:45:00+00:00,1,13.9,0.187,165.05999755859375,-275.04437460795356,-2.133025342165924,STOP_LOSS,LOSS,0.7430555555555556
1,v2_hold_day,NVDA,2026-04-06 13:45:00+00:00,2026-04-06 19:55:00+00:00,1,7.8,0.157,177.1750030517578,-60.81171099888984,-0.26725320778577066,EOD,LOSS,0.2569444444444444
1,v2_hold_day,NVDA,2026-04-09 19:55:00+00:00,2026-04-10 15:20:00+00:00,1,6.6,0.156,183.85000610351562,-337.9849409915885,-2.2177196895445563,STOP_LOSS,LOSS,0.8090277777777778
1,v2_hold_day,NVDA,2026-04-15 15:20:00+00:00,2026-04-15 19:55:00+00:00,1,22.7,0.247,199.781005859375,-16.149267791623423,-0.07814650234357191,EOD,LOSS,0.1909722222222222
1,v2_hold_day,NVDA,2026-04-20 19:55:00+00:00,2026-04-21 16:00:00+00:00,1,0.6,0.122,202.11000061035156,117.7712344958251,0.5395168823329667,PROFIT_TARGET,WIN,0.8368055555555556
1,v3_phaseB,NVDA,2026-02-24 19:30:00+00:00,2026-03-20 19:30:00+00:00,1,100.0,0.229,192.62359619140625,-379.4933531698607,-1.8187441778890456,HARD_DTE_21,LOSS,24.0
1,v3_phaseB,NVDA,2026-03-25 19:30:00+00:00,2026-04-15 13:30:00+00:00,1,12.0,0.178,178.35000610351562,-396.5355938371429,-2.0396390323494997,STOP_LOSS,LOSS,20.75
1,v3_phaseB,NVDA,2026-04-20 13:30:00+00:00,2026-04-23 19:55:00+00:00,1,10.5,0.178,200.34500122070312,-176.68530550129705,-1.0030347079370552,END_OF_RANGE,LOSS,3.267361111111111
1,v4_filtered,NVDA,2026-02-24 19:30:00+00:00,2026-03-20 19:30:00+00:00,1,100.0,0.229,192.62359619140625,-379.4933531698607,-1.8187441778890456,HARD_DTE_21,LOSS,24.0
1,v4_filtered,NVDA,2026-03-31 18:55:00+00:00,2026-04-23 19:55:00+00:00,1,38.3,0.307,173.71499633789062,-331.2443977864348,-1.0927864826245186,END_OF_RANGE,LOSS,23.041666666666668
1,v5_hedged,NVDA,2026-02-24 19:30:00+00:00,2026-03-20 19:30:00+00:00,3,100.0,0.229,192.62359619140625,-1138.4800595095821,-1.8187441778890456,HARD_DTE_21,LOSS,24.0
1,v5_hedged,NVDA,2026-03-31 18:55:00+00:00,2026-04-23 19:55:00+00:00,1,38.3,0.307,173.71499633789062,-331.2443977864348,-1.0927864826245186,END_OF_RANGE,LOSS,23.041666666666668
1,v1_baseline,AMZN,2026-02-24 19:30:00+00:00,2026-03-02 16:45:00+00:00,1,100.0,0.259,208.8699951171875,275.97564494725293,0.5121347144695377,PROFIT_TARGET,WIN,5.885416666666667
1,v1_baseline,AMZN,2026-03-05 16:45:00+00:00,2026-04-08 13:30:00+00:00,1,53.2,0.315,217.8000030517578,381.8992922833208,0.6106254422628818,PROFIT_TARGET,WIN,33.864583333333336
1,v1_baseline,AMZN,2026-04-13 13:30:00+00:00,2026-04-23 19:55:00+00:00,1,10.7,0.177,237.9600067138672,-535.0011390936456,-1.1505456140732473,END_OF_RANGE,LOSS,10.26736111111111
1,v2_hold_day,AMZN,2026-02-24 19:30:00+00:00,2026-02-24 20:55:00+00:00,1,100.0,0.259,208.8699951171875,-15.375905771230958,-0.0631623741816905,EOD,LOSS,0.059027777777777776
1,v2_hold_day,AMZN,2026-02-27 20:55:00+00:00,2026-03-02 16:45:00+00:00,1,43.8,0.24,210.00999450683594,115.90862406467713,0.5495963963650015,PROFIT_TARGET,WIN,2.826388888888889
1,v2_hold_day,AMZN,2026-03-05 16:45:00+00:00,2026-03-05 20:55:00+00:00,1,53.2,0.315,217.8000030517578,92.40654733074413,0.27423504332221715,EOD,WIN,0.1736111111111111
1,v2_hold_day,AMZN,2026-03-10 19:55:00+00:00,2026-03-11 19:55:00+00:00,1,20.4,0.186,214.33999633789062,-61.18898535461816,-0.35007640956121167,EOD,LOSS,1.0
